id,genres
1,"Animation;Children's;Comedy"
2,"Action;Adventure;Thriller"
3,"Thriller"
4,"Action;Comedy;Drama"
5,"Crime;Drama;Thriller"
6,"Drama"
7,"Drama;Sci-Fi"
8,"Children's;Comedy;Drama"
9,"Drama"
10,"Drama;War"
11,"Crime;Thriller"
12,"Crime;Thriller"
13,"Comedy"
14,"Drama;Romance"
15,"Drama"
16,"Comedy;Romance"
17,"Action;Comedy;Crime;Horror;Thriller"
18,"Drama"
19,"Drama"
20,"Drama;Romance"
21,"Action;Adventure;Comedy;Musical;Thriller"
22,"Action;Drama;War"
23,"Drama;Thriller"
24,"Action;Adventure;Crime"
25,"Comedy"
26,"Comedy"
27,"Action"
28,"Action;Drama;Thriller"
29,"Action;Adventure;Comedy;Crime"
30,"Drama"
31,"Drama;Thriller;War"
32,"Documentary"
33,"Action;Romance;Thriller"
34,"Comedy;Drama"
35,"Adventure;Children's;Drama"
36,"Drama;Romance"
37,"Drama"
38,"Sci-Fi;Thriller"
39,"Action;Crime;Sci-Fi"
40,"Comedy"
41,"Comedy"
42,"Comedy"
43,"Drama;Thriller"
44,"Drama;Thriller"
45,"Comedy;Drama"
46,"Drama"
47,"Comedy;Drama"
48,"Documentary"
49,"Comedy;Romance"
50,"Action;Adventure;Romance;Sci-Fi;War"
51,"Drama;Romance;War;Western"
52,"Drama"
53,"Action;Thriller"
54,"Action;Drama;Thriller"
55,"Crime;Drama;Romance;Thriller"
56,"Crime;Drama"
57,"Drama"
58,"Drama"
59,"Drama"
60,"Drama"
61,"Drama"
62,"Action;Adventure;Sci-Fi"
63,"Children's;Comedy"
64,"Drama"
65,"Comedy;Drama"
66,"Comedy;Romance"
67,"Comedy"
68,"Action;Romance;Thriller"
69,"Comedy;Romance;War"
70,"Comedy;Romance"
71,"Animation;Children's;Musical"
72,"Comedy;Crime;Fantasy"
73,"Action;Comedy;Western"
74,"Action;Comedy;Drama"
75,"Documentary"
76,"Crime;Drama"
77,"Drama;Thriller"
78,"Adventure;Children's;Drama"
79,"Action;Thriller"
80,"Action;Comedy;War"
81,"Comedy;Romance"
82,"Action;Adventure;Sci-Fi"
83,"Comedy;Romance"
84,"Horror;Sci-Fi"
85,"Comedy"
86,"Drama"
87,"Drama"
88,"Comedy;Romance"
89,"Film-Noir;Sci-Fi"
90,"Comedy;Romance;Thriller"
91,"Children's;Comedy;Musical"
92,"Action;Crime;Romance"
93,"Comedy;Drama"
94,"Children's;Comedy"
95,"Animation;Children's;Comedy;Musical"
96,"Action;Sci-Fi;Thriller"
97,"Adventure;Drama;Western"
98,"Drama;Thriller"
99,"Animation;Children's;Musical"
